date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:23	57390/57390	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202024%2006:31:53%20GMT	https://arvindproteins.com/upload/infrastructure/1-15-1625336350.jpg	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/infrastructure/1-15-1625336350.jpg	(from https://arvindproteins.com/infrastructure)
14:09:23	35456/35456	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Jun%202021%2005:15:08%20GMT	https://arvindproteins.com/js/isotope.pkgd.min.js	D:/download_websites/Minalagreeexport/arvindproteins.com/js/isotope.pkgd.min.js	(from https://arvindproteins.com/infrastructure)
14:09:24	2667/2667	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:51%20GMT	https://arvindproteins.com/upload/process/farm-to-factory-1625970346.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/farm-to-factory-1625970346.png	(from https://arvindproteins.com/process)
14:09:24	3035/3035	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:51%20GMT	https://arvindproteins.com/upload/process/quality-inspection-1625970409.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/quality-inspection-1625970409.png	(from https://arvindproteins.com/process)
14:09:24	1646/1646	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:52%20GMT	https://arvindproteins.com/upload/process/pre-cleaning-1625997006.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/pre-cleaning-1625997006.png	(from https://arvindproteins.com/process)
14:09:24	1661/1661	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:48%20GMT	https://arvindproteins.com/upload/process/de-stoning-1625970495.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/de-stoning-1625970495.png	(from https://arvindproteins.com/process)
14:09:25	2465/2465	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:49%20GMT	https://arvindproteins.com/upload/process/decortication-1625997269.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/decortication-1625997269.png	(from https://arvindproteins.com/process)
14:09:25	2301/2301	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:51%20GMT	https://arvindproteins.com/upload/process/storage-silo-1625970574.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/storage-silo-1625970574.png	(from https://arvindproteins.com/process)
14:09:25	3271/3271	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:52%20GMT	https://arvindproteins.com/upload/process/vibro-screening-1625970611.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/vibro-screening-1625970611.png	(from https://arvindproteins.com/process)
14:09:25	1661/1661	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:48%20GMT	https://arvindproteins.com/upload/process/de-stoning2-1625970678.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/de-stoning2-1625970678.png	(from https://arvindproteins.com/process)
14:09:25	8565/8565	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:49%20GMT	https://arvindproteins.com/upload/process/gravity-separation-1626012538.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/gravity-separation-1626012538.png	(from https://arvindproteins.com/process)
14:09:25	4542/4542	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:48%20GMT	https://arvindproteins.com/upload/process/colour-sorting-1626011832.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/colour-sorting-1626011832.png	(from https://arvindproteins.com/process)
14:09:26	11010/11010	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:50%20GMT	https://arvindproteins.com/upload/process/metal-detection-1626067824.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/metal-detection-1626067824.png	(from https://arvindproteins.com/process)
14:09:26	1512/1512	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:51%20GMT	https://arvindproteins.com/upload/process/uniform-grading-1625971010.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/uniform-grading-1625971010.png	(from https://arvindproteins.com/process)
14:09:26	3268/3268	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:49%20GMT	https://arvindproteins.com/upload/process/lab-analysis-1625971046.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/lab-analysis-1625971046.png	(from https://arvindproteins.com/process)
14:09:26	5097/5097	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:50%20GMT	https://arvindproteins.com/upload/process/packing-stuffing-1625998172.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/process/packing-stuffing-1625998172.png	(from https://arvindproteins.com/process)
14:09:27	2357/2357	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Aug%202021%2011:57:48%20GMT	https://arvindproteins.com/js/contact.min.js	D:/download_websites/Minalagreeexport/arvindproteins.com/js/contact.min.js	(from https://arvindproteins.com/process)
14:09:28	10239/10239	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:57%20GMT	https://arvindproteins.com/upload/accreditation/apeda-1625292744.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/accreditation/apeda-1625292744.png	(from https://arvindproteins.com/)
14:09:28	144416/144416	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202024%2006:31:59%20GMT	https://arvindproteins.com/upload/accreditation/rcmc-1649936618.jpg	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/accreditation/rcmc-1649936618.jpg	(from https://arvindproteins.com/accreditation)
14:09:28	202058/202058	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:11%20GMT	https://arvindproteins.com/images/roundimg.png	D:/download_websites/Minalagreeexport/arvindproteins.com/images/roundimg.png	(from https://arvindproteins.com/)
14:09:28	10259/10259	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:19%20GMT	https://arvindproteins.com/images/404.png	D:/download_websites/Minalagreeexport/arvindproteins.com/images/404.png	(from https://arvindproteins.com/404-not-found)
